GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2019
" ""00000""",United States, ,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,13262079000,19091662000
" ""00000""",United States, ,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,81.88,117.872
" ""00000""",United States, ,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,10581822000,21433226000
" ""01000""",Alabama,5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,157137932,200829359
" ""01000""",Alabama,5,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,84.232,107.652
" ""01000""",Alabama,5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,123035307,228142616
" ""01001""","Autauga, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,943367,1501769
" ""01001""","Autauga, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,63.435,100.984
" ""01001""","Autauga, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,748918,1737286
" ""01003""","Baldwin, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,3950240,6140514
" ""01003""","Baldwin, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,78.205,121.567
" ""01003""","Baldwin, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,3042910,7223316
" ""01005""","Barbour, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,812861,762856
" ""01005""","Barbour, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,112.312,105.403
" ""01005""","Barbour, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,638536,834832
" ""01007""","Bibb, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,296728,389547
" ""01007""","Bibb, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,79.933,104.936
" ""01007""","Bibb, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,223597,467477
