GEOID,name,income_2001,income_2019
00000,United States,31589,56490
01000,Alabama,25104,44145
01001,"Autauga, AL",24661,43917
01003,"Baldwin, AL",27070,47485
01005,"Barbour, AL",20144,35763
01007,"Bibb, AL",17961,31725
01009,"Blount, AL",21317,36412
01011,"Bullock, AL",17001,29080
01013,"Butler, AL",21184,37523
01015,"Calhoun, AL",23205,38394
01017,"Chambers, AL",21846,35900
01019,"Cherokee, AL",19858,36432
01021,"Chilton, AL",21076,36188
01023,"Choctaw, AL",20062,40145
01025,"Clarke, AL",20059,37965
01027,"Clay, AL",20450,34322
01029,"Cleburne, AL",20605,35791
01031,"Coffee, AL",25444,43979
01033,"Colbert, AL",21779,39679
01035,"Conecuh, AL",20189,34892
01037,"Coosa, AL",20038,32523
01039,"Covington, AL",21650,36756
01041,"Crenshaw, AL",22300,37118
01043,"Cullman, AL",23632,40818
01045,"Dale, AL",22395,37853
01047,"Dallas, AL",20413,38362
01049,"DeKalb, AL",21261,33242
01051,"Elmore, AL",24034,44316
01053,"Escambia, AL",19395,34432
01055,"Etowah, AL",22348,38326
01057,"Fayette, AL",19707,36465
01059,"Franklin, AL",21433,35292
01061,"Geneva, AL",22105,36848
01063,"Greene, AL",18819,33386
01065,"Hale, AL",17557,38207
01067,"Henry, AL",21580,43502
01069,"Houston, AL",26893,44647
01071,"Jackson, AL",22324,38315
01073,"Jefferson, AL",31455,57329
01075,"Lamar, AL",20333,35148
01077,"Lauderdale, AL",23472,38758
01079,"Lawrence, AL",20822,35039
01081,"Lee, AL",21374,39781
01083,"Limestone, AL",23025,44946
01085,"Lowndes, AL",19465,40785
01087,"Macon, AL",16962,34901
01089,"Madison, AL",30161,54010
01091,"Marengo, AL",22135,41567
01093,"Marion, AL",19070,34000
01095,"Marshall, AL",23452,37345
01097,"Mobile, AL",23144,40112
01099,"Monroe, AL",20442,35174
01101,"Montgomery, AL",28313,45479
01103,"Morgan, AL",25785,41741
01105,"Perry, AL",17740,33529
01107,"Pickens, AL",20547,33890
01109,"Pike, AL",22298,38473
01111,"Randolph, AL",19638,33804
01113,"Russell, AL",21729,33986
01115,"St. Clair, AL",22662,40766
01117,"Shelby, AL",34962,56830
01119,"Sumter, AL",17799,33009
01121,"Talladega, AL",20405,36125
01123,"Tallapoosa, AL",22432,42509
01125,"Tuscaloosa, AL",25393,40648
01127,"Walker, AL",22762,42477
01129,"Washington, AL",19350,37837
01131,"Wilcox, AL",17176,34903
01133,"Winston, AL",21266,35776
02000,Alaska,33517,62806
02013,"Aleutians East Borough, AK*",33243,62537
02016,"Aleutians West Census Area, AK*",21820,58008
02020,"Anchorage Municipality, AK",37721,70145
02050,"Bethel Census Area, AK*",24374,46348
02060,"Bristol Bay Borough, AK",32407,151900
02068,"Denali Borough, AK*",39332,84166
02070,"Dillingham Census Area, AK*",26611,61922
02090,"Fairbanks North Star Borough, AK",29973,59958
02100,"Haines Borough, AK",31064,71711
02110,"Juneau City and Borough, AK",39455,73335
02122,"Kenai Peninsula Borough, AK",30282,54870
02130,"Ketchikan Gateway Borough, AK*",38988,70985
02150,"Kodiak Island Borough, AK",30669,66382
02158,"Kusilvak Census Area, AK*",16765,31944
02164,"Lake and Peninsula Borough, AK*",28771,65898
02170,"Matanuska-Susitna Borough, AK",29328,48943
02180,"Nome Census Area, AK*",24284,54272
02185,"North Slope Borough, AK",46095,89863
02188,"Northwest Arctic Borough, AK",25683,51526
02220,"Sitka City and Borough, AK",33648,74440
02240,"Southeast Fairbanks Census Area, AK*",23975,52458
02261,"Valdez-Cordova Census Area, AK*",32255,64202
02282,"Yakutat City and Borough, AK*",28182,66967
02290,"Yukon-Koyukuk Census Area, AK*",24206,60579
04000,Arizona,26803,46058
04001,"Apache, AZ",16589,35189
04003,"Cochise, AZ",22260,41766
04005,"Coconino, AZ",24888,49189
04007,"Gila, AZ",20470,41217
04009,"Graham, AZ",15363,31895
04011,"Greenlee, AZ",21287,42296
04012,"La Paz, AZ*",17595,34006
04013,"Maricopa, AZ",29495,49704
04015,"Mohave, AZ",20361,34393
04017,"Navajo, AZ",16865,33268
04019,"Pima, AZ",26546,45456
04021,"Pinal, AZ",18302,32182
04023,"Santa Cruz, AZ",19774,39427
04025,"Yavapai, AZ",22404,41393
04027,"Yuma, AZ*",18815,36570
05000,Arkansas,23840,44629
05001,"Arkansas, AR",23966,47899
05003,"Ashley, AR",21631,37944
05005,"Baxter, AR",22842,37749
05007,"Benton, AR",33459,92697
05009,"Boone, AR",21252,36414
05011,"Bradley, AR",20237,39980
05013,"Calhoun, AR",20182,35686
05015,"Carroll, AR",19409,33021
05017,"Chicot, AR",19253,40389
05019,"Clark, AR",20080,36832
05021,"Clay, AR",20029,36459
05023,"Cleburne, AR",22292,38942
05025,"Cleveland, AR",23009,39847
05027,"Columbia, AR",21699,37456
05029,"Conway, AR",22793,38892
05031,"Craighead, AR",22494,38669
05033,"Crawford, AR",19388,33904
05035,"Crittenden, AR",21590,39041
05037,"Cross, AR",20055,38693
05039,"Dallas, AR",19941,37101
05041,"Desha, AR",19943,40943
05043,"Drew, AR",20644,37742
05045,"Faulkner, AR",23251,38949
05047,"Franklin, AR",20788,33404
05049,"Fulton, AR",16997,29020
05051,"Garland, AR",24373,41069
05053,"Grant, AR",23324,39087
05055,"Greene, AR",20069,35770
05057,"Hempstead, AR",21129,32238
05059,"Hot Spring, AR",19356,31443
05061,"Howard, AR",22161,34762
05063,"Independence, AR",22272,36476
05065,"Izard, AR",19332,30923
05067,"Jackson, AR",22053,40703
05069,"Jefferson, AR",21123,36586
05071,"Johnson, AR",19268,28920
05073,"Lafayette, AR",20956,36524
05075,"Lawrence, AR",19332,34400
05077,"Lee, AR",17606,32099
05079,"Lincoln, AR",16426,28024
05081,"Little River, AR",20233,35383
05083,"Logan, AR",20060,33386
05085,"Lonoke, AR",24363,40749
05087,"Madison, AR",20620,34245
05089,"Marion, AR",17379,31405
05091,"Miller, AR",21729,35035
05093,"Mississippi, AR",26319,36882
05095,"Monroe, AR",19770,36710
05097,"Montgomery, AR",18966,29858
05099,"Nevada, AR",20561,34274
05101,"Newton, AR",16922,30096
05103,"Ouachita, AR",19902,38801
05105,"Perry, AR",22070,36248
05107,"Phillips, AR",19165,35438
05109,"Pike, AR",19680,32499
05111,"Poinsett, AR",20527,35558
05113,"Polk, AR",18736,30984
05115,"Pope, AR",21973,35464
05117,"Prairie, AR",20315,37330
05119,"Pulaski, AR",32266,51927
05121,"Randolph, AR",18723,34352
05123,"St. Francis, AR",17421,29154
05125,"Saline, AR",24344,42688
05127,"Scott, AR",20005,31159
05129,"Searcy, AR",16520,28143
05131,"Sebastian, AR",25124,42821
05133,"Sevier, AR",21467,32001
05135,"Sharp, AR",17848,34403
05137,"Stone, AR",17915,31593
05139,"Union, AR",27040,45261
05141,"Van Buren, AR",19079,31697
05143,"Washington, AR",22453,41005
05145,"White, AR",20037,37082
05147,"Woodruff, AR",19751,39902
05149,"Yell, AR",21248,33260
06000,California,34043,66619
06001,"Alameda, CA",39391,81171
06003,"Alpine, CA",34594,72155
06005,"Amador, CA",26767,45920
06007,"Butte, CA",25035,47860
06009,"Calaveras, CA",28232,51131
06011,"Colusa, CA",25295,51342
06013,"Contra Costa, CA",46759,85324
06015,"Del Norte, CA",19181,38445
06017,"El Dorado, CA",38557,69895
06019,"Fresno, CA",23694,45487
06021,"Glenn, CA",21915,49194
06023,"Humboldt, CA",26085,49654
06025,"Imperial, CA",20972,40447
06027,"Inyo, CA",30247,60513
06029,"Kern, CA",22557,41843
06031,"Kings, CA",18719,39433
06033,"Lake, CA",25228,44259
06035,"Lassen, CA",19409,38130
06037,"Los Angeles, CA",30913,65094
06039,"Madera, CA",20374,41267
06041,"Marin, CA",73371,141735
06043,"Mariposa, CA",24561,56354
06045,"Mendocino, CA",28193,52976
06047,"Merced, CA",21078,41077
06049,"Modoc, CA",23074,51088
06051,"Mono, CA",30403,53500
06053,"Monterey, CA",31752,59838
06055,"Napa, CA",41091,75717
06057,"Nevada, CA",33979,63542
06059,"Orange, CA",39157,71711
06061,"Placer, CA",40566,68936
06063,"Plumas, CA",29106,55910
06065,"Riverside, CA",25623,42418
06067,"Sacramento, CA",31687,55266
06069,"San Benito, CA",27873,55261
06071,"San Bernardino, CA",23772,42043
06073,"San Diego, CA",34308,63729
06075,"San Francisco, CA",56758,139405
06077,"San Joaquin, CA",26393,47139
06079,"San Luis Obispo, CA",30522,61004
06081,"San Mateo, CA",58369,134107
06083,"Santa Barbara, CA",33966,66076
06085,"Santa Clara, CA",51385,115997
06087,"Santa Cruz, CA",39737,71592
06089,"Shasta, CA",27711,48438
06091,"Sierra, CA",25925,47245
06093,"Siskiyou, CA",24823,48021
06095,"Solano, CA",30278,53505
06097,"Sonoma, CA",38248,66700
06099,"Stanislaus, CA",25038,45742
06101,"Sutter, CA",25795,47605
06103,"Tehama, CA",21113,43268
06105,"Trinity, CA",22659,43471
06107,"Tulare, CA",21858,42845
06109,"Tuolumne, CA",25899,48841
06111,"Ventura, CA",35646,64715
06113,"Yolo, CA",29946,56123
06115,"Yuba, CA",21855,43536
08000,Colorado,35023,61157
08001,"Adams, CO*",27864,45481
08003,"Alamosa, CO",23136,40076
08005,"Arapahoe, CO",41679,64477
08007,"Archuleta, CO",24909,43088
08009,"Baca, CO",26665,43297
08011,"Bent, CO",21340,31374
08013,"Boulder, CO*",42333,76527
08015,"Chaffee, CO",23769,49036
08017,"Cheyenne, CO",33133,55188
08019,"Clear Creek, CO",35860,61816
08021,"Conejos, CO",17971,38385
08023,"Costilla, CO",21098,35621
08025,"Crowley, CO",17747,20822
08027,"Custer, CO",26332,42381
08029,"Delta, CO",22128,39339
08031,"Denver, CO",40041,81405
08033,"Dolores, CO",21541,38005
08035,"Douglas, CO",42852,78455
08037,"Eagle, CO",43805,84765
08039,"Elbert, CO",33105,60586
08041,"El Paso, CO",31271,51117
08043,"Fremont, CO",20681,36966
08045,"Garfield, CO",32080,60285
08047,"Gilpin, CO",43618,50346
08049,"Grand, CO",27963,51891
08051,"Gunnison, CO",26877,48853
08053,"Hinsdale, CO",24157,50294
08055,"Huerfano, CO",20050,41561
08057,"Jackson, CO",22001,55715
08059,"Jefferson, CO*",41783,66017
08061,"Kiowa, CO",35310,54765
08063,"Kit Carson, CO",26827,45658
08065,"Lake, CO",22652,37391
08067,"La Plata, CO",29261,58216
08069,"Larimer, CO",32229,55884
08071,"Las Animas, CO",22549,39762
08073,"Lincoln, CO",19815,30855
08075,"Logan, CO",26645,46697
08077,"Mesa, CO",27504,46719
08079,"Mineral, CO",31842,75044
08081,"Moffat, CO",25301,43842
