name,lat,lng
Mohawk Mountain Ski Area,41.83675,-73.31342
Mount Southington,41.58235,-72.92587
Powder Ridge Ski Area,41.502006,-72.7371
Ski Sundown,41.88407,-72.94523
Baker Mountain (ski area),45.08472,-69.90556
Big Rock (ski resort),46.52222,-67.82778
Big Squaw Mountain Resort,45.50417,-69.70556
Black Mountain of Maine,44.58000,-70.6175
Camden Snow Bowl,44.217216,-69.1346
Eaton Mountain,44.76806,-69.61944
Lonesome Pine Trails,47.23278,-68.59306
Lost Valley Ski Area,44.136,-70.281
Ski Mount Abram,44.37917,-70.70694
Powderhouse Hill (ski area),43.23694,-70.80222
Saddleback Maine (ski resort),44.93667,-70.50306
Shawnee Peak Ski Area,44.05833,-70.81528
Sugarloaf (ski resort),45.03139,-70.31306
Sunday River (ski resort),44.46944,-70.86111
Titcomb Mountain,44.65000,-70.17083
Berkshire East Ski Resort,42.62083,-72.87694
Blandford Ski Area,42.18885139,-72.9
Blue Hills Ski Area,42.21528,-71.11917
Bousquet Ski Area,42.41611,-73.27917
Ski Butternut,42.17806,-73.31694
Easton Ski Area,42.5387,-72.5938
Jiminy Peak (ski area),42.55083,-73.29083
Nashoba Valley Ski Area,42.5419750,-71.444
Otis Ridge,42.1964,-73.0988
Ski Bradford,42.74361,-71.05889
Ski Ward,42.30556,-71.675
Wachusett Mountain (ski area),42.49944,-71.88639
Arrowhead Recreation Area,43.36278,-72.33333
Attitash Mountain Resort,44.08222,-71.22972
Black Mountain Ski Area (New Hampshire),44.16833,-71.16444
Bretton Woods Mountain Resort,44.25972,-71.46222
Cannon Mountain Ski Area,44.15778,-71.69889
Cranmore Mountain Resort,44.05639,-71.11
Crotched Mountain,42.998294108,-71.8
Dartmouth Skiway,43.78667,-72.43389
Granite Gorge Ski Area,42.97083,-72.21222
Gunstock Mountain Resort,43.54139,-71.3675
King Pine,43.87139,-71.08944
Loon Mountain,44.03597,-71.62144
McIntyre Ski Area,43.00500,-71.44
Mount Sunapee Resort,43.33056,-72.08
Pats Peak,43.16333,-71.79583
Ragged Mountain Resort,43.48444,-71.84222
Tenney Mountain Ski Resort,43.73778,-71.78361
The Balsams Grand Resort Hotel,44.87056,-71.30778
Waterville Valley Resort,43.96528,-71.52778
Whaleback (ski area),43.60139,-72.18139
Wildcat Mountain Ski Area,44.26306,-71.23833
Yawgoo Valley,41.51694,-71.52944
"Brownsville, Vermont",43.46861,-72.47083
Bolton Valley,44.419621,-72.8499
Bromley Mountain,43.22778,-72.93861
Burke Mountain (Vermont),44.57083,-71.89317
Skiing Cochrans,44.396,-72.982
Jay Peak Resort,44.92944,-72.53222
Killington Ski Resort,43.626,-72.798
Mad River Glen,44.20083,-72.92444
Magic Mountain Ski Area,43.19278,-72.76
Middlebury College Snow Bowl,43.94,-72.96
Mount Snow,42.959835,-72.9221
Northeast Slopes,44.07250,-72.25028
Okemo Mountain,43.40139,-72.71667
Pico Mountain,43.66167,-72.8425
"Plymouth Notch, Vermont",43.5299,-72.7388
Quechee Ski Area,43.6572,-72.4431
Smugglers' Notch Resort,44.57278,-72.77611
Stowe Mountain Resort,44.53194,-72.7875
Stratton Mountain Resort,43.11417,-72.90667
Sugarbush Resort,44.135098,-72.8859
Suicide Six,43.66389,-72.54444
Wisp Ski Resort,39.55806,-79.36306
Big Snow American Dream,40.81111,-74.07
Campgaw Mountain,41.0542633,-74.199
Hidden Valley (New Jersey),41.1856000,-74.48
Mountain Creek,41.181,-74.513
Belleayre Ski Center,42.1422139,-74.51
Bristol Mountain Ski Resort,42.745,-77.404444
Catamount Ski Area,42.171457,-73.4777
Gore Mountain (ski resort),43.67222,-74.00694
Greek Peak Mountain Resort,42.5085996,-76.146
Holiday Valley (ski resort),42.26250,-78.66806
Hunter Mountain (ski area),42.200278,-74.2302
McCauley Mountain (New York),43.6925676,-74.961
Peek'n Peak,42.06250,-79.73667
Plattekill Mountain,42.290251,-74.6536
Thunder Ridge Ski Area,41.50722,-73.58111
Titus Mountain,44.76333,-74.23528
West Mountain (ski area),43.28556,-73.72833
Whiteface Mountain,44.36583,-73.90278
Windham Mountain,42.29167,-74.25944
Bear Creek Ski and Recreation Area,40.47611,-75.62583
Blue Mountain Resort,40.82222,-75.51333
Boyce Park,40.46556,-79.74528
Camelback Mountain Resort,41.05139,-75.35528
Elk Mountain Ski Area,41.721,-75.559
Hidden Valley Resort (Pennsylvania),40.058042,-79.2582
Jack Frost Ski Resort,41.111,-75.652
Liberty Mountain Resort,39.763500,-77.375
Mount Pleasant of Edinboro,41.85111,-80.07028
Seven Springs Mountain Resort,40.02306,-79.29278
Shawnee Mountain Ski Area,41.04083,-75.08333
Ski Big Bear,41.52333,-75.025
Roundtop Mountain Resort,40.108,-76.926
Montage Mountain Ski Resort,41.3533,-75.6592
Tussey Mountain Ski Area,40.7682,-77.752
Whitetail Ski Resort,39.74167,-77.93278
Appalachian Ski Mountain,36.174,-81.662
Cataloochee Ski Area,35.563,-83.09
Wolf Ridge Ski Resort,35.955,-82.509
Ober Gatlinburg,35.708969,-83.5215
Bryce Resort,38.81750,-78.76583
Massanutten Mountain,38.643028,-78.612
The Omni Homestead Resort,37.9954722,-79.829
Wintergreen Resort,37.93000,-78.94167
Canaan Valley Resort State Park,39.02361,-79.46583
Snowshoe Mountain,38.40889,-79.99472
Winterplace Ski Resort,37.59000,-81.115
Ski Snowstar,41.4250,-90.7438
Paoli Peaks,38.55778,-86.51028
Perfect North Slopes,39.149208,-84.8865
Big Powderhorn Mountain,46.50417,-90.09611
"Blackjack Ski Resort (Bessemer, Michigan)",46.5021,-90.0046
Boyne Highlands,45.47083,-84.93472
Boyne Mountain Resort,45.16389,-84.93278
Caberfae Peaks Ski &amp; Golf Resort,44.24972,-85.725
Crystal Mountain (Michigan),44.52000,-85.99222
Indianhead Mountain,46.50000,-89.97083
Marquette Mountain,46.508,-87.42
Mont Ripley,47.12917,-88.55944
Mount Bohemia,47.39167,-88.01361
Mount Brighton,42.53806,-83.80694
Mulligan's Hollow Ski Bowl,43.0564,-86.2393
Nub's Nob,45.47,-84.903
Pine Knob,42.7422524,-83.367
Porcupine Mountains,46.78111,-89.68083
