name,lat,lng,vert
Mohawk Mountain Ski Area,41.83675,-73.31342,650
Mount Southington,41.58235,-72.92587,425
Powder Ridge Ski Area,41.502006,-72.7371,550
Ski Sundown,41.88407,-72.94523,625
Baker Mountain (ski area),45.08472,-69.90556
Big Rock (ski resort),46.52222,-67.82778
Big Squaw Mountain Resort,45.50417,-69.70556
Black Mountain of Maine,44.58000,-70.6175,1380
Camden Snow Bowl,44.217216,-69.1346,845
Eaton Mountain,44.76806,-69.61944
Lonesome Pine Trails,47.23278,-68.59306
Lost Valley Ski Area,44.136,-70.281,240
Ski Mount Abram,44.37917,-70.70694
Powderhouse Hill (ski area),43.23694,-70.80222
Saddleback Maine (ski resort),44.93667,-70.50306,2000
Shawnee Peak Ski Area,44.05833,-70.81528,1300
Sugarloaf (ski resort),45.03139,-70.31306,2820
Sunday River (ski resort),44.46944,-70.86111
Titcomb Mountain,44.65000,-70.17083
Berkshire East Ski Resort,42.62083,-72.87694
Blandford Ski Area,42.18885139,-72.9,465
Blue Hills Ski Area,42.21528,-71.11917,309
Ski Butternut,42.17806,-73.31694,1000
Easton Ski Area,42.5387,-72.5938
Jiminy Peak (ski area),42.55083,-73.29083,1150
Nashoba Valley Ski Area,42.5419750,-71.444,240
Otis Ridge,42.1964,-73.0988,400
Ski Bradford,42.74361,-71.05889
Ski Ward,42.30556,-71.675,220
Wachusett Mountain (ski area),42.49944,-71.88639,1006
Arrowhead Recreation Area,43.36278,-72.33333
Attitash Mountain Resort,44.08222,-71.22972,1750
Black Mountain Ski Area (New Hampshire),44.16833,-71.16444,1100
Bretton Woods Mountain Resort,44.25972,-71.46222,1500
Cannon Mountain Ski Area,44.15778,-71.69889,2330
Cranmore Mountain Resort,44.05639,-71.11,1200
Crotched Mountain,42.998294108,-71.8
Dartmouth Skiway,43.78667,-72.43389
Granite Gorge Ski Area,42.97083,-72.21222,390
Gunstock Mountain Resort,43.54139,-71.3675,1400
King Pine,43.87139,-71.08944,350
Loon Mountain,44.03597,-71.62144
McIntyre Ski Area,43.00500,-71.44,180
Mount Sunapee Resort,43.33056,-72.08,1513
Pats Peak,43.16333,-71.79583,770
Ragged Mountain Resort,43.48444,-71.84222,1250
Tenney Mountain Ski Resort,43.73778,-71.78361,1400
The Balsams Grand Resort Hotel,44.87056,-71.30778
Waterville Valley Resort,43.96528,-71.52778,2020
Whaleback (ski area),43.60139,-72.18139,700
Wildcat Mountain Ski Area,44.26306,-71.23833,2112
Yawgoo Valley,41.51694,-71.52944
"Brownsville, Vermont",43.46861,-72.47083
Bolton Valley,44.419621,-72.8499,1625
Bromley Mountain,43.22778,-72.93861,1334
Burke Mountain (Vermont),44.57083,-71.89317
Skiing Cochrans,44.396,-72.982
Jay Peak Resort,44.92944,-72.53222,2153
Killington Ski Resort,43.626,-72.798,3050
Mad River Glen,44.20083,-72.92444,2000
Magic Mountain Ski Area,43.19278,-72.76,1500
Middlebury College Snow Bowl,43.94,-72.96
Mount Snow,42.959835,-72.9221
Northeast Slopes,44.07250,-72.25028,340
Okemo Mountain,43.40139,-72.71667,2200
Pico Mountain,43.66167,-72.8425,1967
"Plymouth Notch, Vermont",43.5299,-72.7388
Quechee Ski Area,43.6572,-72.4431
Smugglers' Notch Resort,44.57278,-72.77611,2610
Stowe Mountain Resort,44.53194,-72.7875,2360
Stratton Mountain Resort,43.11417,-72.90667,2003
Sugarbush Resort,44.135098,-72.8859,2600
