name,lat,lng,vert,viewcount2020,viewcount2019,viewcount2018,viewcount2017,viewcount2016,viewcount2015
Mohawk Mountain Ski Area,41.83675,-73.31342,650,3081,8594,7134,6528,9250,7258
Mount Southington,41.58235,-72.92587,425,1174,2973,3646,2689,2784,2923
Powder Ridge Ski Area,41.502006,-72.737172,550,1343,4028,4819,4257,4039,4329
Ski Sundown,41.88407,-72.94523,625,1317,3787,5451,5018,4306,4156
Baker Mountain (ski area),45.08472,-69.90556,227,1160,2097,2138,1992,1658,1705
Big Rock (ski resort),46.52222,-67.82778,920,1381,3392,3750,2660,2660,2536
Big Squaw Mountain Resort,45.50417,-69.70556,1620,342,627,508,427,467,347
Black Mountain of Maine,44.58000,-70.61750,1380,1480,3578,3430,3155,3809,5292
Camden Snow Bowl,44.217216,-69.134667,845,1140,2455,3293,2983,2652,2614
Eaton Mountain,44.76806,-69.61944,620,716,1583,2029,1683,1871,1354
Hermon Mountain (ski area),null,null,null,null,null,null,null,null,null
Lonesome Pine Trails,47.23278,-68.59306,null,881,1103,983,908,970,1173
Lost Valley Ski Area,44.136,-70.281,240,1270,2878,3501,2881,2598,2093
Ski Mount Abram,44.37917,-70.70694,null,251,461,377,313,241,239
Mount Jefferson Ski Area,null,null,null,null,null,null,null,null,null
Powderhouse Hill (ski area),43.23694,-70.80222,120,606,1369,1555,1287,1295,1442
Quoggy Jo,null,null,null,null,null,null,null,null,null
Saddleback Maine (ski resort),44.93667,-70.50306,2000,3080,4855,6429,6868,10233,11261
Shawnee Peak Ski Area,44.05833,-70.81528,1300,1889,4266,4722,3687,4091,5404
Sugarloaf (ski resort),45.03139,-70.31306,2820,12147,28630,31360,29793,30026,31438
Sunday River (ski resort),44.46944,-70.86111,2340,942,1730,1608,1250,1317,1113
Titcomb Mountain,44.65000,-70.17083,350,779,1703,1699,1847,1772,1750
Berkshire East Ski Resort,42.62083,-72.87694,1180,1758,4613,6375,5987,6219,7261
Blandford Ski Area,42.18885139,-72.90076806,465,1691,3044,3716,3525,2878,7790
Blue Hills Ski Area,42.21528,-71.11917,309,1491,3682,4732,7319,6482,3710
Bousquet Mountain,null,null,750,1065,3150,3496,5235,3256,3807
Ski Butternut,42.17806,-73.31694,980,2715,8376,10937,20113,19044,14499
Easton Ski Area,42.5387,-72.5938,null,510,1374,1793,1296,1212,1326
Jiminy Peak (ski area),42.55083,-73.29083,1130,3545,7476,9877,7492,8409,7611
Mount Greylock Ski Club,null,null,null,null,null,null,null,null,null
Nashoba Valley Ski Area,42.5419750,-71.4441028,228,1773,4495,5297,6413,6088,5862
Otis Ridge,42.1964,-73.0988,465,null,null,null,null,80,965
Ski Bradford,42.74361,-71.05889,null,983,2948,3389,5896,9510,6056
Ski Ward,42.30556,-71.67500,220,1048,2675,3180,2467,2174,2277
Wachusett Mountain (ski area),42.49944,-71.88639,1006,3170,9750,10411,9997,10318,8834
Arrowhead Recreation Area,43.36278,-72.33333,null,746,2007,1676,1380,1203,1575
Attitash Mountain Resort,44.08222,-71.22972,1750,null,4235,8324,9048,11011,11753
Black Mountain Ski Area (New Hampshire),44.16833,-71.16444,1100,1127,2546,2832,2537,2984,3001
Bretton Woods Mountain Resort,44.25972,-71.46222,1500,3178,6269,6770,6464,7035,7762
Cannon Mountain Ski Area,44.15778,-71.69889,2330,4363,11342,11651,11186,9201,10932
Cranmore Mountain Resort,44.05639,-71.11000,1200,2868,6433,6500,5943,6161,6703
Crotched Mountain,42.998294108,-71.873712297,null,2105,5874,7303,9632,13188,10984
Dartmouth Skiway,43.78694,-72.10083,968,2453,5707,5870,13645,7403,6975
